NDB_No,Shrt_Desc,Energ_Kcal,Energ_Kcal,Protein_(g),Carbohydrt_(g),Vit_C_(mg),Sodium_(mg),Calcium_(mg),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2
9026,"APRICOTS,CND,LT SYRUP PK,W/SKN,SOL&LIQUIDS",63,63,0.53,16.49,2.7,4,11,0,253,"1 cup,  halves",40,"1 apricot, half with liquid"
9031,"APRICOTS,DEHYD (LOW-MOISTURE),SULFURED,STWD",126,126,1.93,32.62,7.1,5,24,0,249,1 cup,,
9030,"APRICOTS,DEHYD (LOW-MOISTURE),SULFURED,UNCKD",320,320,4.9,82.89,9.5,13,61,0,119,1 cup,,
9034,"APRICOTS,DRIED,SULFURED,STWD,W/ SUGAR",113,113,1.17,29.26,1.4,3,15,0,270,"1 cup,  halves",,
9033,"APRICOTS,DRIED,SULFURED,STWD,WO/ SUGAR",85,85,1.2,22.15,0.3,4,19,0,250,"1 cup,  halves",,
9032,"APRICOTS,DRIED,SULFURED,UNCKD",241,241,3.39,62.64,1,10,55,0,130,"1 cup,  halves",3.5,1 half
9035,"APRICOTS,FROZEN,SWEETENED",98,98,0.7,25.1,9,4,10,0,242,1 cup,,
9021,"APRICOTS,RAW",48,48,1.4,11.12,10,1,13,0,155,"1 cup,  halves",165,"1 cup, sliced"
21527,"ARBY'S,RST BF SNDWCH,CLASSIC",242,242,15.17,22.21,,653,55,30,149,1 sandwich,,
18522,"ARCHWAY Home Style Cookies, Chocolate Chip Ice Box",497,497,4.28,65.02,0,270,14,13,24,1 serving,,
18524,"ARCHWAY Home Style Cookies, Coconut Macaroon",460,460,3.02,61.23,0,200,5,0,22,1 serving,,
18527,"ARCHWAY Home Style Cookies, Date Filled Oatmeal",400,400,4.67,68.16,,331,28,6,25,1 serving,,
18528,"ARCHWAY Home Style Cookies, Dutch Cocoa",431,431,4.5,69.44,,384,13,7,24,1 serving,,
18532,"ARCHWAY Home Style Cookies, Iced Molasses",420,420,3.5,69.12,,605,24,12,28,1 serving,,
18533,"ARCHWAY Home Style Cookies, Iced Oatmeal",435,435,4.89,66.76,0,377,32,8,28,1 serving,,
18535,"ARCHWAY Home Style Cookies, Molasses",403,403,4.25,69.41,0,577,29,25,26,1 serving,,
18537,"ARCHWAY Home Style Cookies, Oatmeal",421,421,5.48,68.17,0,394,35,10,25,1 serving,,
18538,"ARCHWAY Home Style Cookies, Oatmeal Raisin",406,406,5.17,69.27,0,339,38,8,26,1 serving,,
18539,"ARCHWAY Home Style Cookies, Old Fashioned Molasses",406,406,4.27,70.55,0,561,32,25,26,1 serving,,
18540,"ARCHWAY Home Style Cookies, Old Fashioned Windmill Cookies",468,468,5.17,72.23,0,471,36,1,20,1 serving,,
18562,"ARCHWAY Home Style Cookies, Reduced Fat Ginger Snaps",424,424,4.67,76.23,,406,62,1,32,1 serving,,
18547,"ARCHWAY Home Style Cookies, Strawberry Filled",400,400,4.35,65.92,,377,20,6,25,1 serving,,
18529,"ARCHWAY HOME STYLE COOKIES,FROSTY LEMON",430,430,4.41,64.78,0,449,41,0,26,1 serving,,
18541,"ARCHWAY HOME STYLE COOKIES,PNUT BUTTER",480,480,9,58.48,0,404,35,37,21,1 serving,,
18544,"ARCHWAY HOME STYLE COOKIES,RASPBERRY FILLED",400,400,4.35,65.92,,334,20,6,25,1 serving,,
18513,"ARCHWAY HOME STYLE COOKIES,SUGAR FREE OATMEAL",442,442,5.54,67.2,0,308,20,0,24,1 serving,,
11701,"ARROWHEAD,CKD,BLD,DRND,W/SALT",78,78,4.49,16.14,0.3,254,7,0,12,"1 corm,  medium",,
11006,"ARROWHEAD,CKD,BLD,DRND,WO/SALT",78,78,4.49,16.14,0.3,18,7,0,12,1 medium,,
11005,"ARROWHEAD,RAW",99,99,5.33,20.23,1.1,22,10,0,25,1 large,12,1 medium
